year,rank,company,ticker,country,attributable_gold_koz,gold_revenue_share_pct,source_primary,source_crosscheck,confidence,panel_eligible,ineligible_reason
2010,2,Newmont Mining,NEM,US,,81.0,"Newmont FY2010 guidance only: equity gold production outlook 5.3-5.5 million ounces; FY2010 ACTUAL not independently verified in this pass; rank position inferred from consistent #2 standing || Gold revenue share: Newmont Mining Corp FY2011 Form 10-K: same sentence, 2010 copper = 19% -> gold share = 81%",,low,yes,
2011,1,Barrick Gold,GOLD,CA,7676,,"Barrick Gold Corp FY2012 40-F Annual Information Form (EX-99.1), mine-by-mine attributable production table: ""Company Total 7,421 7,676"" (2012 vs 2011, thousand oz) - supersedes prior backsolved estimate of 7,681","MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013) backsolved figure of 7,681 koz is within 0.1% of the primary-source 7,676 koz",high,yes,
2011,2,Newmont Mining,NEM,US,5190,88.0,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved) || Gold revenue share: Newmont Mining Corp FY2011 Form 10-K: same sentence, 2011 copper = 12% -> gold share = 88%",,medium,yes,
2011,3,AngloGold Ashanti,AU,ZA,4300,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved)",,medium,yes,
2011,4,Gold Fields,GFI,ZA,3500,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved)",,medium,yes,
2011,5,Kinross Gold,KGC,CA,2540,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved)",,medium,yes,
2011,6,Goldcorp,GG,CA,2510,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved)",,medium,yes,
2011,7,Newcrest Mining,NCM,AU,2420,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved)",,medium,yes,
2011,8,Polyus,PLZL,RU,1500,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved)",,medium,yes,
2011,9,Harmony Gold,HMY,ZA,1320,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved)",,medium,yes,
2011,10,Compania de Minas Buenaventura,BVN,PE,1040,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 2011 figures derived from the article's stated year-on-year % change versus reported 2012 output (e.g. Barrick 7.42Moz 2012, stated ""-3.4%"" => 2011 back-solved)",,medium,yes,
2012,1,Barrick Gold,GOLD,CA,7421,,"Barrick Gold Corp FY2012 40-F Annual Information Form (EX-99.1), mine-by-mine attributable production table: ""Company Total 7,421 7,676"" (2012 vs 2011, thousand oz)","MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013): 7,420 koz (matches to rounding)",high,yes,
2012,2,Newmont Mining,NEM,US,4980,91.0,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production || Gold revenue share: Newmont Mining Corp FY2014 Form 10-K: ""For 2014, 2013 and 2012, 10%, 9% and 9%, respectively, of our Sales were attributable to copper"" -> 2012 gold share = 91%",,medium,yes,
2012,3,AngloGold Ashanti,AU,ZA,4160,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production",,medium,yes,
2012,4,Gold Fields,GFI,ZA,3300,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production",,medium,yes,
2012,5,Kinross Gold,KGC,CA,2620,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production",,medium,yes,
2012,6,Goldcorp,GG,CA,2390,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production",,medium,yes,
2012,7,Newcrest Mining,NCM,AU,2070,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production",,medium,yes,
2012,8,Polyus,PLZL,RU,1680,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production",,medium,yes,
2012,9,Harmony Gold,HMY,ZA,1220,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production",,medium,yes,
2012,10,Compania de Minas Buenaventura,BVN,PE,1060,,"MINING.com, ""Top 10 gold companies in 2012"" (Feb 2013), compiling FY2012 company-reported production",,medium,yes,
2013,1,Barrick Gold,GOLD,CA,7170,,"Barrick Gold Corp FY2013 results disclosure: ""Barrick's gold production was 7.17 million ounces""",,medium,yes,
2013,2,Newmont Mining,NEM,US,5100,91.0,"Newmont Mining Corp FY2013 results (per MINING.com/company disclosure synthesis): ""consolidated gold production of 5.5 million ounces (5.1 million attributable ounces) in 2013""; gold revenue share per Newmont FY2014 10-K, Note (copper = 9% of Sales in 2013)",,medium,yes,
2013,3,AngloGold Ashanti,AU,ZA,4062,,"AngloGold Ashanti FY2013 disclosure: ""South African operations produced 1.3 million ounces... 32% of group production"" (total group derived as 1.3/0.32 = ~4.06 Moz)",,low,yes,
2013,4,Goldcorp,GG,CA,2670,,"Goldcorp Inc, ""Goldcorp achieves 2013 gold production and cash cost forecasts"" (news release, Jan 2014, filed as 6-K exhibit 99.1): 2013 gold production of 2.67 million ounces, +11% over 2012",,medium,yes,
2013,5,Newcrest Mining,NCM,AU,2110,,"Newcrest Mining Limited FY2013 Annual Report (year ended 30 June 2013): 2,109,784 ounces of gold -- NOTE: Newcrest fiscal year ends 30 June; used as proxy for calendar 2013",,medium,yes,
2013,6,Gold Fields,GFI,ZA,2022,,Gold Fields Limited FY2013 disclosure (per company results synthesis): fiscal 2013 attributable production of 2.022 million gold-equivalent ounces -- NOTE: not independently re-verified against the primary 20-F/6-K this session,,low,yes,
2013,7,Polyus,PLZL,RU,1650,,Polyus (per company FY2013 trading update synthesis): record annual refined gold production from continuing operations of 1.65 million ounces (+5% y/y),,medium,yes,
2013,8,Sibanye Gold,SBSW,ZA,1430,,"Sibanye Gold Ltd 2013 results (per Mining Weekly, ""Sibanye 2013 production above guidance"", Jan 31 2014): 44,474kg = 1.43 million ounces of gold",,medium,yes,
2013,9,Agnico Eagle Mines,AEM,CA,1099,,"Agnico Eagle Mines Ltd, ""Agnico Eagle reports fourth quarter and full year 2013 results"" (news release): payable gold production for full year 2013 was 1,099,335 ounces at total cash costs of $672/oz",,medium,yes,
2014,1,Barrick Gold,GOLD,CA,6249,,"Barrick Gold Corp FY2015 40-F Annual Information Form (EX-99.1), production table: ""Company Total 6,117 6,249"" (2015 vs 2014, thousand oz)","MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015): 6,250 koz (matches to rounding)",high,yes,
2014,2,Newmont Mining,NEM,US,4850,90.0,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production || Gold revenue share: Newmont Mining Corp FY2014 Form 10-K: same sentence, 2014 copper = 10% -> gold share = 90%",,medium,yes,
2014,3,AngloGold Ashanti,AU,ZA,4440,,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production",,medium,yes,
2014,4,Goldcorp,GG,CA,2870,,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production",,medium,yes,
2014,5,Kinross Gold,KGC,CA,2710,,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production",,medium,yes,
2014,6,Newcrest Mining,NCM,AU,2330,,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production",,medium,yes,
2014,7,Gold Fields,GFI,ZA,2220,,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production",,medium,yes,
2014,8,Polyus,PLZL,RU,1700,,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production",,medium,yes,
2014,9,Sibanye Gold,SBSW,ZA,1590,,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production",,medium,yes,
2014,10,Agnico Eagle Mines,AEM,CA,1430,,"MINING.com, ""UPDATED: The world's top 10 gold producers"" (Feb 2015), compiling FY2014 company-reported production",,medium,yes,
2015,1,Barrick Gold,GOLD,CA,6117,86.7,"Barrick Gold Corp FY2016 40-F Annual Information Form (EX-99.1): ""Company Total 6,117 6,249"" (2015 vs 2014 production, thousand oz); same document: ""Total revenues in 2015 were $9.0 billion... gold and copper revenues totaled $7.8 billion and $1.0 billion, respectively"" (gold share = 7.8/9.0)","Canadian Mining Journal, ""GOLD: Top 10 producing companies"" (Mar 30, 2016): 6,120 koz (matches to rounding)",high,yes,
2015,2,Newmont Mining,NEM,US,5020,95.0,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production || Gold revenue share: Newmont Mining Corp FY2017 Form 10-K: ""For 2017, 2016 and 2015, 4%, 4% and 5%, respectively, of our Sales were attributable to copper"" -> 2015 gold share = 95%","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2015,3,AngloGold Ashanti,AU,ZA,3950,,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2015,4,Goldcorp,GG,CA,3460,,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2015,5,Kinross Gold,KGC,CA,2590,,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2015,6,Newcrest Mining,NCM,AU,2490,,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2015,7,Gold Fields,GFI,ZA,2160,,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2015,8,Polyus,PLZL,RU,1750,,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2015,9,Agnico Eagle Mines,AEM,CA,1670,,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2015,10,Sibanye Gold,SBSW,ZA,1540,,"MINING.com, ""Update: World's top 10 gold producers"" (Feb 29, 2016), compiling FY2015 company-reported production","Canadian Mining Journal, ""GOLD: Top 10 producing countries, companies"" (Mar 30, 2016) - independently republished ranking, same figures within rounding",high,yes,
2016,1,Barrick Gold,GOLD,CA,5520,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2016,2,Newmont Mining,NEM,US,4900,96.0,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production || Gold revenue share: Newmont Mining Corp FY2017 Form 10-K: same sentence, 2016 copper = 4% -> gold share = 96%",,medium,yes,
2016,3,AngloGold Ashanti,AU,ZA,3630,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2016,4,Goldcorp,GG,CA,2870,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2016,5,Kinross Gold,KGC,CA,2790,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2016,6,Newcrest Mining,NCM,AU,2460,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2016,7,Gold Fields,GFI,ZA,2150,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2016,8,Polyus,PLZL,RU,1970,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2016,9,Agnico Eagle Mines,AEM,CA,1660,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2016,10,Sibanye Gold,SBSW,ZA,1510,,"MINING.com, ""World's top 10 gold mining companies - 2016"" (Mar 4, 2017), compiling FY2016 company-reported production",,medium,yes,
2017,1,Barrick Gold,GOLD,CA,5323,,"Barrick Gold Corp FY2019 40-F Annual Information Form (EX-99.1), production table: ""Company Total 4,527 5,323"" (2018 vs 2017, thousand oz)",,high,yes,
2017,2,Newmont Mining,NEM,US,5300,96.0,"Newmont Mining Corp FY2017 Form 10-K: ""Attributable gold production: Increased gold production 8% from the prior year to 5.3 million ounces, primarily due to a full year's production from Merian and Long Canyon""; gold revenue share from same filing: ""For 2017, 2016 and 2015, 4%, 4% and 5%...of our Sales were attributable to copper""",,medium,yes,
2017,3,AngloGold Ashanti,AU,ZA,3800,,AngloGold Ashanti FY2017 results (per company disclosure synthesis): produced 3.8 million ounces of gold in 2017,,medium,yes,
2017,4,Kinross Gold,KGC,CA,2674,,"Kinross Gold Corp, ""Kinross reports 2017 fourth-quarter and full-year results"" (news release, filed as 40-F exhibit): ""Kinross produced 2,673,533 Au eq. oz. for full-year 2017, compared with 2,789,150 Au eq. oz. for full-year 2016""",,high,yes,
2017,5,Goldcorp,GG,CA,2569,,Goldcorp Inc FY2017 results (per company disclosure synthesis): gold production of 2.569 million ounces in fiscal 2017,,medium,yes,
2017,6,Newcrest Mining,NCM,AU,2381,86.3,"Newcrest Mining Limited FY2018 Annual Report, 5-year production table: ""Gold produced 000's ounces 2,346 2,381..."" (FY2018 vs FY2017); FY2017 revenue: ""Gold revenue 3,001"" / ""Total revenue 3,477"" ($M) -- NOTE: fiscal year ended 30 June 2017, used as proxy for calendar 2017",,medium,yes,
2017,7,Gold Fields,GFI,ZA,2160,,Gold Fields Limited FY2017 disclosure (per company results synthesis): attributable gold production of 2.160 million ounces in 2017,,low,yes,
2017,8,Polyus,PLZL,RU,2160,,Polyus FY2017 results (per company disclosure synthesis): total gold output +10% y/y to 2.16 million ounces,,medium,yes,
2017,9,Agnico Eagle Mines,AEM,CA,1714,,"Agnico Eagle Mines Ltd, ""Agnico Eagle Reports Fourth Quarter and Full Year 2017 Results - Record Annual Gold Output"" (news release): payable gold production for full year 2017 was 1,713,533 ounces",,medium,yes,
2017,10,Sibanye Gold,SBSW,ZA,1400,,"MINING.com, ""Sibanye-Stillwater's 2017 platinum production up, gold falls"" (per article synthesis): approximately 1.4 million ounces of gold produced in 2017",,low,yes,
2017,11,Randgold Resources,RRS,GB,1315,,"Randgold Resources FY2017 results: ""total production for 2017 was 1.315 million ounces"" - rank within global top-20 not independently established in this pass (likely ~13-16)",,medium,yes,
2017,12,Polymetal International,POLY,RU,1100,,"MINING.com narrative (Mar 2018 top-10 article): ""nearly 1.1m ounces"" - rank not independently established",,low,no,"polymetalinternational.com returns HTTP 403 to both a direct request and the r.jina.ai proxy fallback -- the only source across this whole research project that failed even the fallback method; only a Russian-language FY2020 mirror (akm.ru) was confirmed live this session, with no complete English-language historical run found (docs/NONSEC_SOURCES.md 3.2, 5, 6.3)"
2018,1,Newmont Mining,NEM,US,5100,96.0,"MINING.com (Jul 2019): ""Newmont... held top spot in 2018"" producing ""above 5m ounces""; Canadian Mining Journal cites ""158.7 tonnes"" (=5.10Moz) || Gold revenue share: Newmont Corp FY2020 Form 10-K: ""For 2020, 2019 and 2018, 1%, 2% and 4%, respectively, of Sales were attributable to copper"" -> 2018 gold share = 96%",Canadian Mining Journal (2018 rankings article): 158.7 tonnes = 5.10 million oz - independent unit confirms same figure,high,yes,
2018,2,Barrick Gold,GOLD,CA,4527,91.7,"Barrick Gold Corp FY2019 40-F Annual Information Form (EX-99.1), production table: ""Company Total 4,527 5,323"" (2018 vs 2017, thousand oz); same document: ""Total revenues in 2018 were $7.2 billion... gold and copper revenues totaled $6.6 billion and $0.5 billion, respectively"" (gold share = 6.6/7.2)","MINING.com (Jul 2019): ""Barrick Gold...4.5 million attributable ounces"" (matches to rounding)",high,yes,
2018,3,Newcrest Mining,NCM,AU,2346,84.8,"Newcrest Mining Limited FY2018 Annual Report (year ended 30 June 2018): ""Gold production of 2.346 million ounces""; ""Gold revenue 3,019"" / ""Total revenue 3,562"" ($M) -- NOTE: fiscal year ended 30 June 2018, used as proxy for calendar 2018",,high,yes,
2018,4,Harmony Gold,HMY,ZA,1400,,"MINING.com (Jul 2019): ""Harmony Gold increased production by 30%... to more than 1.4 million ounces"" - just missed top 10 that year per same article",,medium,yes,
2019,1,Newmont Goldcorp,NEM,US,6300,98.0,"Newmont Corp FY2020 Form 10-K: ""Attributable gold production: Produced 5.9 million ounces of gold, a decrease of 6% over the prior year"" (2020 vs 2019) -> 2019 backsolved to ~6.3 million ounces; independently corroborated by press synthesis citing ""6.3 million attributable ounces"" for combined Newmont Goldcorp 2019 -- gold revenue share: ""For 2020, 2019 and 2018, 1%, 2% and 4%...of Sales were attributable to copper"" (same 10-K) -> 2019 gold share = 98%","MINING.com/press consensus: ""Newmont became the world's largest gold miner after acquiring rival Goldcorp...in 2019""; independent figure of ""6.3 million attributable ounces"" matches the FY2020 10-K backsolve to within rounding",medium,yes,
2019,2,Barrick Gold,GOLD,CA,5500,,"Barrick Gold Corp FY2019 disclosure (post-Randgold merger, effective Jan 2019): ""Barrick Gold delivered 5.5 million ounces of gold at $894/oz AISC in 2019""",,medium,yes,
2019,3,AngloGold Ashanti,AU,ZA,3281,,AngloGold Ashanti FY2019 results (per company disclosure synthesis): production for the year ended 31 December 2019 was 3.281 million ounces,,medium,yes,
2019,4,Polyus,PLZL,RU,2841,,"Kitco News, ""Polyus produces 16% more gold in 2019, adds to capex"" (Feb 12, 2020): Polyus reported 2,841 thousand ounces of gold produced in 2019",,medium,yes,
2019,5,Kinross Gold,KGC,CA,2508,,"Kinross Gold Corp, ""Kinross reports 2019 fourth-quarter and full-year results"" (news release, per synthesis): ""Kinross produced 2,507,659 attributable Au eq. oz. for full-year 2019, in line with the Company's 2019 annual guidance""",,medium,yes,
2019,6,Gold Fields,GFI,ZA,2195,,"Gold Fields Limited FY2019 disclosure (per company results synthesis): ""2.270 million ounces of gold equivalents in 2019, with 2.195 million ounces attributable to Gold Fields""",,medium,yes,
2020,1,Newmont Corporation,NEM,US,5880,99.0,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership || Gold revenue share: Newmont Corp FY2020 Form 10-K: same sentence, 2020 copper = 1% -> gold share = 99%","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
2020,2,Barrick Gold,GOLD,CA,4840,,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
2020,3,Polyus,PLZL,RU,2870,,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
2020,4,AngloGold Ashanti,AU,ZA,2810,100.0,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership || Gold revenue share: AngloGold Ashanti Ltd FY2022 Form 20-F, income statement: ""Gold sales 1,440,328"" = ""Total revenue 1,440,328"" ($000s, 2020) — single product line, no by-product disclosed","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
2020,5,Kinross Gold,KGC,CA,2380,,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
